Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/clusters/486818732c691850ddcd5b241ca23319454fe575,242,0,470.0,583.8947747854772,163.78054099914152,2545.891207999375,262144.0,4.096320471352733,0.0,470,580,740,790,1000,1500,2100,2400,2500,2500,2500
GET,/clusters/4a09785674d14344d92b1212b6e810369535ea1c,240,0,510.0,615.0122977291176,165.1114590058569,3995.393624994904,262144.0,4.062466583159735,0.0,510,600,770,790,1200,1500,2000,2300,4000,4000,4000
GET,/clusters/4a7fb852bb3f120e676f906c7e208e43f6dc1003,234,0,400.0,538.1256771839446,165.5623749975348,2102.145416996791,262144.0,3.960904918580742,0.0,400,580,640,750,980,1200,1600,2100,2100,2100,2100
GET,/clusters/4bb7275205086e01c4bdef60113abd1c6c07b666,248,0,490.0,557.9965282016518,161.79712500161259,2900.2365409978665,262144.0,4.197882135931726,0.0,500,590,720,760,990,1200,1800,2000,2900,2900,2900
GET,/clusters/6bfb0a0bfd71b41f71bd956b5e6af76c8ad5cd2b,250,0,520.0,595.3463146558497,164.33579199656378,2952.9754579998553,262144.0,4.231736024124724,0.0,530,600,770,800,1100,1400,1700,2000,3000,3000,3000
GET,/clusters/b8186e0e1806966514ea8d45b3eb3e7681bdf974,240,0,530.0,585.9569623417883,167.74320799595444,2286.8890419995296,262144.0,4.062466583159735,0.0,530,620,780,800,980,1200,1600,2000,2300,2300,2300
GET,/clusters/c544b2178af4a4428cd1e12ca26d6428e3d24276,243,0,500.0,578.3353858024523,160.59041699918453,2682.261959002062,262144.0,4.113247415449232,0.0,500,580,690,780,970,1200,2000,2300,2700,2700,2700
GET,/clusters/d16bf0750fcda12088c406510f2d2f6c50d4097c,226,0,410.0,549.6872144204781,167.8439579991391,2452.761291002389,262144.0,3.825489365808751,0.0,410,590,730,780,970,1200,1700,1900,2500,2500,2500
GET,/clusters/dbf5013b65b95c339ecd6563acd4b8016cd0d80f,237,0,490.0,607.0512709243015,169.13683299935656,3117.7498329998343,262144.0,4.011685750870239,0.0,490,600,770,800,1200,1500,2000,2400,3100,3100,3100
GET,/clusters/dcfc37347dd5794515d7bb08ffcbca654f47d744,243,0,400.0,604.0684545389364,165.6566669989843,2655.55033399869,262144.0,4.113247415449232,0.0,400,590,790,840,1200,1600,2000,2200,2700,2700,2700
GET,/clusters/ef4d97771d424720fb370d0e82f4537efb72c47a,229,0,410.0,599.973540532941,163.76758299884386,5486.8852910003625,262144.0,3.8762701980982475,0.0,410,590,730,780,1100,1400,2100,2600,5500,5500,5500
GET,/clusters/f4468b46760db96b07658c71338db961fb6de72f,239,0,520.0,615.8063293601936,162.33291699609254,3662.2313750049216,262144.0,4.045539639063237,0.0,520,630,780,810,1000,1300,2000,3100,3700,3700,3700
,Aggregated,2871,0,500.0,586.0928360864842,160.59041699918453,5486.8852910003625,262144.0,48.597256501048335,0.0,500,590,750,790,1000,1400,1900,2200,3700,5500,5500
