Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/clusters/486818732c691850ddcd5b241ca23319454fe575,242,0,430.0,554.0262250284617,121.07479199767113,4552.033249994565,262144.0,4.097146668025303,0.0,430,560,690,780,1000,1300,2000,2600,4600,4600,4600
GET,/clusters/4a09785674d14344d92b1212b6e810369535ea1c,258,0,430.0,520.3500699228539,129.2195830028504,1914.9394999985816,262144.0,4.368032398142678,0.0,440,600,680,770,940,1100,1400,1800,1900,1900,1900
GET,/clusters/4a7fb852bb3f120e676f906c7e208e43f6dc1003,248,0,410.0,513.69861274584,119.80100000073435,2046.1094160054927,262144.0,4.198728816819319,0.0,420,560,680,730,1000,1200,1600,1800,2000,2000,2000
GET,/clusters/4bb7275205086e01c4bdef60113abd1c6c07b666,252,0,450.0,554.8200590637862,117.47366700001294,2903.3109590018285,262144.0,4.2664502493486625,0.0,450,590,770,820,990,1200,1500,1800,2900,2900,2900
GET,/clusters/6bfb0a0bfd71b41f71bd956b5e6af76c8ad5cd2b,279,0,430.0,508.6541276596043,129.03683300100965,1818.7210839969339,262144.0,4.723569918921734,0.0,430,570,650,720,950,1200,1400,1700,1800,1800,1800
GET,/clusters/b8186e0e1806966514ea8d45b3eb3e7681bdf974,287,0,430.0,515.1692068920269,119.27695799386129,2824.9421250002342,262144.0,4.859012783980421,0.0,430,560,640,710,900,1100,1600,2000,2800,2800,2800
GET,/clusters/c544b2178af4a4428cd1e12ca26d6428e3d24276,286,0,420.0,518.3406104298591,124.08145800145576,2372.38808300026,262144.0,4.842082425848085,0.0,420,560,650,770,950,1300,1500,1700,2400,2400,2400
GET,/clusters/d16bf0750fcda12088c406510f2d2f6c50d4097c,291,0,430.0,543.0439699381336,123.85429199639475,3769.861000000674,262144.0,4.9267342165097645,0.0,430,550,650,770,990,1200,1800,2200,3800,3800,3800
GET,/clusters/dbf5013b65b95c339ecd6563acd4b8016cd0d80f,277,0,420.0,499.20063808326387,122.38937499932945,2192.5847499951487,262144.0,4.6897092026570615,0.0,420,570,640,700,940,1100,1300,1900,2200,2200,2200
GET,/clusters/dcfc37347dd5794515d7bb08ffcbca654f47d744,274,0,480.0,530.2113661898951,120.90300000272691,2447.4943749955855,262144.0,4.638918128260054,0.0,480,600,660,730,930,1100,1600,2000,2400,2400,2400
GET,/clusters/ef4d97771d424720fb370d0e82f4537efb72c47a,249,0,430.0,539.3871785544832,127.07095900259446,2494.288084002619,262144.0,4.2156591749516545,0.0,430,570,640,770,1100,1400,2000,2100,2500,2500,2500
GET,/clusters/f4468b46760db96b07658c71338db961fb6de72f,269,0,410.0,511.37005345005787,119.8577920004027,3102.309541995055,262144.0,4.554266337598373,0.0,410,530,630,730,1000,1300,1600,2000,3100,3100,3100
,Aggregated,3212,0,430.0,525.2174010259123,117.47366700001294,4552.033249994565,262144.0,54.38031032106311,0.0,430,570,660,750,970,1200,1600,1900,3200,4600,4600
