Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/clusters/486818732c691850ddcd5b241ca23319454fe575,218,0,490.0,606.9588818858509,146.0430000006454,2632.5100000030943,262144.0,3.6902382283000246,0.0,500,660,760,860,1100,1600,2100,2200,2600,2600,2600
GET,/clusters/4a09785674d14344d92b1212b6e810369535ea1c,227,0,530.0,617.039230163222,145.14400000189198,2122.852458000125,262144.0,3.8425875129546125,0.0,530,720,850,910,1100,1400,1600,1700,2100,2100,2100
GET,/clusters/4a7fb852bb3f120e676f906c7e208e43f6dc1003,258,0,490.0,597.2812411200721,146.08170900464756,3059.674666998035,262144.0,4.367346160098194,0.0,490,700,790,870,1100,1300,1800,2200,3100,3100,3100
GET,/clusters/4bb7275205086e01c4bdef60113abd1c6c07b666,246,0,480.0,557.7522500322771,141.62387500255136,2095.8291249989998,262144.0,4.164213780558743,0.0,480,660,750,800,1100,1200,1400,1600,2100,2100,2100
GET,/clusters/6bfb0a0bfd71b41f71bd956b5e6af76c8ad5cd2b,230,0,460.0,562.3661947695718,145.48120799736353,2392.012166994391,262144.0,3.8933706078394756,0.0,460,640,740,820,1100,1200,1500,2200,2400,2400,2400
GET,/clusters/b8186e0e1806966514ea8d45b3eb3e7681bdf974,242,0,470.0,547.9277541446569,145.07849999790778,4388.207916999818,262144.0,4.096502987378926,0.0,470,580,710,820,960,1200,1500,1700,4400,4400,4400
GET,/clusters/c544b2178af4a4428cd1e12ca26d6428e3d24276,237,0,440.0,543.1610330842158,143.43725000071572,2794.4840830023168,262144.0,4.011864495904155,0.0,440,550,730,770,1000,1300,1500,1800,2800,2800,2800
GET,/clusters/d16bf0750fcda12088c406510f2d2f6c50d4097c,250,0,510.0,625.3848328439926,147.3498749983264,2939.373791006801,262144.0,4.23192457373856,0.0,520,710,830,900,1200,1400,1800,2500,2900,2900,2900
GET,/clusters/dbf5013b65b95c339ecd6563acd4b8016cd0d80f,251,0,500.0,605.1838152908091,148.73304199863924,2311.0412079986418,262144.0,4.248852272033514,0.0,500,700,790,870,1100,1300,1900,2000,2300,2300,2300
GET,/clusters/dcfc37347dd5794515d7bb08ffcbca654f47d744,222,0,500.0,608.8611793695875,141.92954200552776,3011.206832998141,262144.0,3.7579490214798414,0.0,500,670,790,920,1200,1500,1700,2500,3000,3000,3000
GET,/clusters/ef4d97771d424720fb370d0e82f4537efb72c47a,249,0,480.0,581.111697979786,140.83024999854388,2262.515499998699,262144.0,4.214996875443606,0.0,480,620,780,880,1100,1400,1800,1900,2300,2300,2300
GET,/clusters/f4468b46760db96b07658c71338db961fb6de72f,235,0,480.0,600.6263221449657,146.61379199969815,4687.931332999142,262144.0,3.9780090993142467,0.0,480,650,750,840,1100,1400,2100,2500,4700,4700,4700
,Aggregated,2865,0,480.0,587.6513045466404,140.83024999854388,4687.931332999142,262144.0,48.4978556150439,0.0,480,670,760,860,1100,1300,1700,2100,3100,4700,4700
