Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/clusters/486818732c691850ddcd5b241ca23319454fe575,278,0,460.0,540.7464731509882,147.35087499866495,2329.7652089968324,262144.0,4.706973861498755,0.0,460,540,650,700,1000,1200,2000,2100,2300,2300,2300
GET,/clusters/4a09785674d14344d92b1212b6e810369535ea1c,276,0,460.0,529.8989767572124,147.08799999789335,3680.136084003607,262144.0,4.6731107401930085,0.0,460,520,630,670,900,1100,1800,2500,3700,3700,3700
GET,/clusters/4a7fb852bb3f120e676f906c7e208e43f6dc1003,268,0,460.0,507.26829788048354,147.55699999659555,2153.2362919970183,262144.0,4.537658254970022,0.0,460,520,630,670,860,1000,1400,2000,2200,2200,2200
GET,/clusters/4bb7275205086e01c4bdef60113abd1c6c07b666,299,0,460.0,507.1528119899517,140.97933300217846,5290.610166994156,262144.0,5.062536635209092,0.0,460,520,650,680,870,1000,1200,1600,5300,5300,5300
GET,/clusters/6bfb0a0bfd71b41f71bd956b5e6af76c8ad5cd2b,259,0,450.0,504.03924475284765,137.03370899747824,2262.359207998088,262144.0,4.385274209094164,0.0,450,510,640,690,900,1200,1200,1400,2300,2300,2300
GET,/clusters/b8186e0e1806966514ea8d45b3eb3e7681bdf974,286,0,470.0,566.6569398567113,148.51333400292788,3118.070208998688,262144.0,4.842426346721741,0.0,470,580,690,770,1100,1300,1800,2400,3100,3100,3100
GET,/clusters/c544b2178af4a4428cd1e12ca26d6428e3d24276,278,0,450.0,522.2966723706659,140.40758400369668,2853.0680410040077,262144.0,4.706973861498755,0.0,450,510,620,670,910,1200,2000,2400,2900,2900,2900
GET,/clusters/d16bf0750fcda12088c406510f2d2f6c50d4097c,236,0,460.0,517.2267618012391,145.77487500355346,2651.0382920023403,262144.0,3.9958483140780796,0.0,460,530,660,690,890,1000,1600,2100,2700,2700,2700
GET,/clusters/dbf5013b65b95c339ecd6563acd4b8016cd0d80f,264,0,460.0,503.8850380264414,146.84862500143936,3210.5994999947143,262144.0,4.46993201235853,0.0,460,530,650,680,860,970,1200,1300,3200,3200,3200
GET,/clusters/dcfc37347dd5794515d7bb08ffcbca654f47d744,266,0,460.0,536.439626917143,140.85770899691852,5521.622291998938,262144.0,4.503795133664276,0.0,460,560,680,700,910,1100,1400,1800,5500,5500,5500
GET,/clusters/ef4d97771d424720fb370d0e82f4537efb72c47a,242,0,450.0,502.1924557684633,144.41970900224987,1978.9413750040694,262144.0,4.097437677995319,0.0,450,540,660,700,870,1000,1300,1300,2000,2000,2000
GET,/clusters/f4468b46760db96b07658c71338db961fb6de72f,292,0,370.0,493.1902284451385,137.7182080032071,2205.3952499991283,262144.0,4.94401571063898,0.0,420,510,630,670,880,1100,1500,1700,2200,2200,2200
,Aggregated,3244,0,460.0,519.5132501334658,137.03370899747824,5521.622291998938,262144.0,54.92598275792072,0.0,460,530,650,690,900,1100,1500,2000,3200,5500,5500
