Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/clusters/486818732c691850ddcd5b241ca23319454fe575,230,0,340.0,531.1765786519454,147.61900000303285,3434.0929159952793,262144.0,3.8941248445653938,0.0,350,520,690,730,1000,1300,1700,1900,3400,3400,3400
GET,/clusters/4a09785674d14344d92b1212b6e810369535ea1c,262,0,470.0,583.2736083015167,146.5586659978726,2535.99508300249,262144.0,4.435916127287536,0.0,470,580,730,830,1100,1400,1900,2100,2500,2500,2500
GET,/clusters/4a7fb852bb3f120e676f906c7e208e43f6dc1003,241,0,340.0,557.303981149291,148.83616699808044,2525.4007919938886,262144.0,4.08036559800113,0.0,340,540,750,920,1100,1300,1700,2200,2500,2500,2500
GET,/clusters/4bb7275205086e01c4bdef60113abd1c6c07b666,259,0,450.0,576.0352343823871,148.0674589984119,3806.744292000076,262144.0,4.385123194532335,0.0,450,540,710,790,1200,1400,1800,2000,3800,3800,3800
GET,/clusters/6bfb0a0bfd71b41f71bd956b5e6af76c8ad5cd2b,227,0,460.0,560.2862127266936,156.5561660027015,1808.911125001032,262144.0,3.843331911810193,0.0,460,560,720,780,1100,1300,1600,1800,1800,1800,1800
GET,/clusters/b8186e0e1806966514ea8d45b3eb3e7681bdf974,231,0,430.0,580.3455582073889,151.55529200274032,2363.8026250046096,262144.0,3.9110558221504608,0.0,430,580,750,860,1300,1600,1800,2000,2400,2400,2400
GET,/clusters/c544b2178af4a4428cd1e12ca26d6428e3d24276,231,0,470.0,596.4208622339262,147.00991599966073,2778.243790999113,262144.0,3.9110558221504608,0.0,470,640,790,890,1100,1500,1900,2200,2800,2800,2800
GET,/clusters/d16bf0750fcda12088c406510f2d2f6c50d4097c,233,0,420.0,553.0462838109978,156.35679200204322,3062.9324589972384,262144.0,3.944917777320595,0.0,420,550,710,830,1000,1400,1600,1700,3100,3100,3100
GET,/clusters/dbf5013b65b95c339ecd6563acd4b8016cd0d80f,247,0,460.0,643.1709502307912,147.29062499827705,3251.1950410043937,262144.0,4.181951463511532,0.0,460,640,820,900,1300,1700,2400,2600,3300,3300,3300
GET,/clusters/dcfc37347dd5794515d7bb08ffcbca654f47d744,239,0,460.0,581.2688796861618,148.98012499907054,3161.6215419999207,262144.0,4.046503642830996,0.0,460,590,730,820,1100,1400,2000,2100,3200,3200,3200
GET,/clusters/ef4d97771d424720fb370d0e82f4537efb72c47a,227,0,460.0,593.2571117663376,148.88062499812804,2603.100083004392,262144.0,3.843331911810193,0.0,460,630,780,870,1100,1400,2000,2300,2600,2600,2600
GET,/clusters/f4468b46760db96b07658c71338db961fb6de72f,265,0,460.0,629.3708664832421,150.13541700318456,3299.239250001847,262144.0,4.486709060042736,0.0,460,650,740,910,1300,1700,2200,2600,3300,3300,3300
,Aggregated,2892,0,450.0,582.8522171877067,146.5586659978726,3806.744292000076,262144.0,48.96438717601356,0.0,450,570,730,860,1100,1400,1900,2200,3300,3800,3800
