Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/clusters/486818732c691850ddcd5b241ca23319454fe575,246,0,460.0,524.1595854103645,142.9411670033005,2368.6810830040486,262144.0,4.164987331407932,0.0,460,530,620,690,900,1200,1500,1700,2400,2400,2400
GET,/clusters/4a09785674d14344d92b1212b6e810369535ea1c,243,0,390.0,529.8569902637602,138.19137500104262,2477.8608750057174,262144.0,4.114194802976128,0.0,390,550,690,720,920,1100,1600,1800,2500,2500,2500
GET,/clusters/4a7fb852bb3f120e676f906c7e208e43f6dc1003,302,0,460.0,552.7690543344731,150.05895799549762,2948.123417001625,262144.0,5.113114528801607,0.0,470,560,680,710,970,1200,1600,1800,2900,2900,2900
GET,/clusters/4bb7275205086e01c4bdef60113abd1c6c07b666,273,0,360.0,504.3357080476565,139.6132919981028,3076.791666004283,262144.0,4.622120087294168,0.0,360,520,620,690,860,1100,1400,1800,3100,3100,3100
GET,/clusters/6bfb0a0bfd71b41f71bd956b5e6af76c8ad5cd2b,267,0,380.0,519.3154010560371,142.45258300070418,2631.415042000299,262144.0,4.52053503043056,0.0,380,530,650,710,900,1200,1300,1500,2600,2600,2600
GET,/clusters/b8186e0e1806966514ea8d45b3eb3e7681bdf974,263,0,370.0,516.4616298932625,145.79858299839543,2018.5616250018938,262144.0,4.452811659188155,0.0,370,530,670,720,970,1100,1300,1500,2000,2000,2000
GET,/clusters/c544b2178af4a4428cd1e12ca26d6428e3d24276,260,0,370.0,498.30480574981686,166.41225000057602,1712.7085000029183,262144.0,4.402019130756351,0.0,370,510,640,690,880,1000,1100,1500,1700,1700,1700
GET,/clusters/d16bf0750fcda12088c406510f2d2f6c50d4097c,290,0,350.0,503.9905880416286,142.28220799850533,3032.6499579969095,262144.0,4.909944415074391,0.0,350,500,630,690,910,1100,1500,1700,3000,3000,3000
GET,/clusters/dbf5013b65b95c339ecd6563acd4b8016cd0d80f,302,0,370.0,516.4337315099032,143.77825000701705,1560.8791250051581,262144.0,5.113114528801607,0.0,380,550,670,710,930,1100,1200,1400,1600,1600,1600
GET,/clusters/dcfc37347dd5794515d7bb08ffcbca654f47d744,262,0,360.0,514.896795782405,137.97524999972666,2963.103540998418,262144.0,4.435880816377553,0.0,360,510,660,700,910,1100,1400,2400,3000,3000,3000
GET,/clusters/ef4d97771d424720fb370d0e82f4537efb72c47a,271,0,350.0,465.67127010678723,148.18604099855293,1364.2716670001391,262144.0,4.588258401672966,0.0,350,490,550,670,840,970,1100,1300,1400,1400,1400
GET,/clusters/f4468b46760db96b07658c71338db961fb6de72f,277,0,400.0,563.215167829894,157.45316700486,2528.916791001393,262144.0,4.689843458536574,0.0,400,610,720,830,1100,1200,1400,1800,2500,2500,2500
,Aggregated,3256,0,370.0,517.6888861243182,137.97524999972666,3076.791666004283,262144.0,55.12682419131799,0.0,370,530,660,700,920,1100,1400,1700,2900,3100,3100
