Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/clusters/486818732c691850ddcd5b241ca23319454fe575,226,0,350.0,558.8310668939715,143.833292000636,2897.421375004342,262144.0,3.826722436297764,0.0,350,500,700,810,1200,1400,2000,2300,2900,2900,2900
GET,/clusters/4a09785674d14344d92b1212b6e810369535ea1c,228,0,430.0,609.3030266928141,131.25608299742453,2879.764208002598,262144.0,3.860587236618983,0.0,430,520,700,870,1300,1800,2200,2500,2900,2900,2900
GET,/clusters/4a7fb852bb3f120e676f906c7e208e43f6dc1003,226,0,450.0,652.954195623923,132.8120000034687,5403.506666996691,262144.0,3.826722436297764,0.0,450,630,820,980,1300,1600,2300,2800,5400,5400,5400
GET,/clusters/4bb7275205086e01c4bdef60113abd1c6c07b666,242,0,360.0,531.5938159793473,138.22437499766238,2440.2582499969867,262144.0,4.097640838867517,0.0,360,490,590,800,1100,1400,1900,2100,2400,2400,2400
GET,/clusters/6bfb0a0bfd71b41f71bd956b5e6af76c8ad5cd2b,284,0,440.0,594.7292165318187,133.58691699977499,3081.909332999203,262144.0,4.808801645613119,0.0,450,560,760,890,1200,1400,2400,2600,3100,3100,3100
GET,/clusters/b8186e0e1806966514ea8d45b3eb3e7681bdf974,239,0,440.0,607.4914815186298,138.30458300071768,5302.368707998539,262144.0,4.046843638385688,0.0,440,510,720,910,1300,1600,2100,2400,5300,5300,5300
GET,/clusters/c544b2178af4a4428cd1e12ca26d6428e3d24276,235,0,460.0,646.642267191504,142.1589169985964,3849.9465420027263,262144.0,3.97911403774325,0.0,460,630,870,1000,1400,1700,2100,2200,3800,3800,3800
GET,/clusters/d16bf0750fcda12088c406510f2d2f6c50d4097c,210,0,420.0,607.1480047237683,142.29241700377315,3595.043875000556,262144.0,3.555804033728011,0.0,420,510,760,880,1200,1600,2500,3100,3600,3600,3600
GET,/clusters/dbf5013b65b95c339ecd6563acd4b8016cd0d80f,243,0,460.0,600.0277718065361,140.3156670057797,2505.6097920023603,262144.0,4.114573239028126,0.0,460,550,760,950,1200,1500,1800,2100,2500,2500,2500
GET,/clusters/dcfc37347dd5794515d7bb08ffcbca654f47d744,230,0,460.0,640.8147845869952,138.0769169991254,2271.8222080002306,262144.0,3.8944520369402023,0.0,470,640,940,1100,1300,1600,2100,2200,2300,2300,2300
GET,/clusters/ef4d97771d424720fb370d0e82f4537efb72c47a,211,0,430.0,602.2950526634761,133.04287499340717,3303.7457909958903,262144.0,3.57273643388862,0.0,430,540,750,910,1200,1700,2100,2300,3300,3300,3300
GET,/clusters/f4468b46760db96b07658c71338db961fb6de72f,222,0,430.0,581.5605500990001,129.1001249992405,2878.6447500024224,262144.0,3.7589928356553255,0.0,450,510,760,910,1200,1400,1900,2300,2900,2900,2900
,Aggregated,2796,0,440.0,602.421561330459,129.1001249992405,5403.506666996691,262144.0,47.34299084906437,0.0,440,530,760,910,1200,1600,2100,2400,4000,5400,5400
