Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/clusters/486818732c691850ddcd5b241ca23319454fe575,225,0,490.0,667.7782639196246,202.30479200108675,3254.0002500027185,262144.0,3.8104113557847907,0.0,490,670,840,890,1100,1700,2400,3200,3300,3300,3300
GET,/clusters/4a09785674d14344d92b1212b6e810369535ea1c,221,0,460.0,657.6916626612095,199.1579589957837,3649.16912499757,262144.0,3.742670709459728,0.0,460,670,840,900,1200,1400,2300,2600,3600,3600,3600
GET,/clusters/4a7fb852bb3f120e676f906c7e208e43f6dc1003,225,0,440.0,598.6659266621185,197.54754199675517,3201.2805830017896,262144.0,3.8104113557847907,0.0,440,630,690,880,1000,1300,2200,2500,3200,3200,3200
GET,/clusters/4bb7275205086e01c4bdef60113abd1c6c07b666,230,0,430.0,575.7508546959878,195.25762500416022,2694.767166998645,262144.0,3.895087163691119,0.0,440,630,710,860,1100,1200,1600,1600,2700,2700,2700
GET,/clusters/6bfb0a0bfd71b41f71bd956b5e6af76c8ad5cd2b,243,0,430.0,604.690865901175,195.59079199825646,7011.638999996649,262144.0,4.115244264247574,0.0,430,610,650,830,1100,1400,2300,2600,7000,7000,7000
GET,/clusters/b8186e0e1806966514ea8d45b3eb3e7681bdf974,234,0,450.0,628.2318129147187,196.86041599925375,4157.156707995455,262144.0,3.962827810016182,0.0,450,650,740,870,1100,1400,2600,3000,4200,4200,4200
GET,/clusters/c544b2178af4a4428cd1e12ca26d6428e3d24276,246,0,440.0,620.1414114065841,197.71795899578137,3115.904166996188,262144.0,4.166049748991371,0.0,440,630,730,870,1200,1500,2100,2900,3100,3100,3100
GET,/clusters/d16bf0750fcda12088c406510f2d2f6c50d4097c,245,0,440.0,595.6486098410987,196.12537499779137,3470.511166997312,262144.0,4.149114587410105,0.0,440,640,680,710,1100,1300,2100,3200,3500,3500,3500
GET,/clusters/dbf5013b65b95c339ecd6563acd4b8016cd0d80f,228,0,440.0,566.3540029082676,197.01937500212807,3081.9991669995943,262144.0,3.861216840528588,0.0,440,620,680,750,920,1300,1800,2000,3100,3100,3100
GET,/clusters/dcfc37347dd5794515d7bb08ffcbca654f47d744,221,0,440.0,609.6319385432339,196.27487500110874,2772.152666999318,262144.0,3.742670709459728,0.0,440,640,690,880,1100,1500,1900,2400,2800,2800,2800
GET,/clusters/ef4d97771d424720fb370d0e82f4537efb72c47a,239,0,450.0,592.7326135231958,197.03641699743457,2279.3557080003666,262144.0,4.047503617922511,0.0,450,640,680,820,1100,1400,1900,2200,2300,2300,2300
GET,/clusters/f4468b46760db96b07658c71338db961fb6de72f,220,0,440.0,565.185052263438,196.2383329955628,1548.6628750004456,262144.0,3.725735547878462,0.0,440,640,830,870,930,1300,1500,1500,1500,1500,1500
,Aggregated,2777,0,440.0,606.776555770023,195.25762500416022,7011.638999996649,262144.0,47.028943711174946,0.0,440,640,700,860,1100,1400,2000,2600,4200,7000,7000
