Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/clusters/486818732c691850ddcd5b241ca23319454fe575,217,0,470.0,580.2348963271525,207.96229100233177,2605.08279199712,262144.0,3.6736245065495705,0.0,470,650,700,750,940,1300,1400,1800,2600,2600,2600
GET,/clusters/4a09785674d14344d92b1212b6e810369535ea1c,221,0,480.0,603.592078276076,206.78920800128253,3420.2548329994897,262144.0,3.7413410873154613,0.0,480,660,700,730,950,1200,1500,2400,3400,3400,3400
GET,/clusters/4a7fb852bb3f120e676f906c7e208e43f6dc1003,234,0,470.0,635.0408074912804,207.29616699827602,3266.241457997239,262144.0,3.961419974804606,0.0,480,680,710,750,1100,1300,2100,2800,3300,3300,3300
GET,/clusters/4bb7275205086e01c4bdef60113abd1c6c07b666,241,0,480.0,650.0012336057418,207.42091699503362,3514.9499580002157,262144.0,4.0799239911449146,0.0,480,700,730,900,1000,1400,2200,2300,3500,3500,3500
GET,/clusters/6bfb0a0bfd71b41f71bd956b5e6af76c8ad5cd2b,214,0,460.0,580.6661953596223,207.19650000683032,3062.5688750005793,262144.0,3.6228370709751525,0.0,460,650,690,730,920,1100,1600,1900,3100,3100,3100
GET,/clusters/b8186e0e1806966514ea8d45b3eb3e7681bdf974,248,0,470.0,610.0998543508701,208.54783400136512,2895.7630830045673,262144.0,4.198428007485224,0.0,470,680,720,870,960,1300,1800,2100,2900,2900,2900
GET,/clusters/c544b2178af4a4428cd1e12ca26d6428e3d24276,235,0,470.0,591.714577821357,207.8650839976035,2364.8976249969564,262144.0,3.9783491199960785,0.0,470,680,700,710,960,1200,1800,2000,2400,2400,2400
GET,/clusters/d16bf0750fcda12088c406510f2d2f6c50d4097c,239,0,460.0,584.766611958425,209.4047499995213,2865.5769169999985,262144.0,4.04606570076197,0.0,460,650,700,720,940,1200,1600,2600,2900,2900,2900
GET,/clusters/dbf5013b65b95c339ecd6563acd4b8016cd0d80f,268,0,460.0,580.9535219329939,206.38920900091762,2725.3962920003687,262144.0,4.537010911314677,0.0,470,650,700,720,940,1200,1600,2300,2700,2700,2700
GET,/clusters/dcfc37347dd5794515d7bb08ffcbca654f47d744,214,0,460.0,579.4521567006988,206.42770799895516,3204.28566699411,262144.0,3.6228370709751525,0.0,460,670,700,720,940,1200,1900,2500,3200,3200,3200
GET,/clusters/ef4d97771d424720fb370d0e82f4537efb72c47a,223,0,470.0,609.646938690308,208.22008299728623,2754.0284170027007,262144.0,3.7751993776984065,0.0,470,680,720,890,1100,1300,1600,2300,2800,2800,2800
GET,/clusters/f4468b46760db96b07658c71338db961fb6de72f,251,0,470.0,605.5816405778496,206.57754199783085,2893.715334001172,262144.0,4.249215443059642,0.0,470,670,710,740,950,1200,2200,2300,2900,2900,2900
,Aggregated,2805,0,470.0,601.277970877354,206.38920900091762,3514.9499580002157,262144.0,47.48625226208085,0.0,470,670,710,740,950,1200,1800,2300,3300,3500,3500
