Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/clusters/486818732c691850ddcd5b241ca23319454fe575,175,0,580.0,604.9121070974589,287.2952920006355,2734.8725409974577,262144.0,2.9636590923138315,0.0,580,600,620,840,970,1500,1900,1900,2700,2700,2700
GET,/clusters/4a09785674d14344d92b1212b6e810369535ea1c,213,0,580.0,643.8847848170758,283.04045899858465,5402.193041998544,262144.0,3.607196495216263,0.0,580,620,840,890,990,1400,1800,2200,5400,5400,5400
GET,/clusters/4a7fb852bb3f120e676f906c7e208e43f6dc1003,198,0,590.0,710.774723273025,285.3922499998589,4539.707374999125,262144.0,3.353168573017935,0.0,590,620,880,900,1200,1800,2800,4100,4500,4500,4500
GET,/clusters/4bb7275205086e01c4bdef60113abd1c6c07b666,194,0,580.0,653.109402108047,285.7097920059459,4147.070084000006,262144.0,3.2854277937650473,0.0,580,610,650,880,1200,1500,2400,4000,4100,4100,4100
GET,/clusters/6bfb0a0bfd71b41f71bd956b5e6af76c8ad5cd2b,194,0,590.0,685.5324235416306,284.5389579961193,3572.6900000008754,262144.0,3.2854277937650473,0.0,590,620,870,900,1200,1500,2700,3300,3600,3600,3600
GET,/clusters/b8186e0e1806966514ea8d45b3eb3e7681bdf974,217,0,590.0,735.5559681244674,281.1272090038983,6040.477666996594,262144.0,3.674937274469151,0.0,590,610,870,900,1200,1800,2800,3900,6000,6000,6000
GET,/clusters/c544b2178af4a4428cd1e12ca26d6428e3d24276,202,0,590.0,723.3117045789636,284.4919999988633,3976.384458001121,262144.0,3.4209093522708223,0.0,590,620,870,900,1300,1800,2400,3700,4000,4000,4000
GET,/clusters/d16bf0750fcda12088c406510f2d2f6c50d4097c,223,0,580.0,682.358079977552,281.9657500003814,3870.36475000059,262144.0,3.7765484433484824,0.0,580,610,630,850,1200,1600,2600,3000,3900,3900,3900
GET,/clusters/dbf5013b65b95c339ecd6563acd4b8016cd0d80f,214,0,590.0,778.4010139582286,281.4717080036644,4176.930957997683,262144.0,3.6241316900294853,0.0,590,620,860,930,1400,1900,3500,3900,4200,4200,4200
GET,/clusters/dcfc37347dd5794515d7bb08ffcbca654f47d744,206,0,580.0,678.6075711798262,285.8607079979265,3962.734584005375,262144.0,3.48865013152371,0.0,580,610,640,870,1200,1600,3000,3100,4000,4000,4000
GET,/clusters/ef4d97771d424720fb370d0e82f4537efb72c47a,181,0,590.0,637.2560476406284,285.8877089965972,4608.452624997881,262144.0,3.0652702611931626,0.0,590,620,830,870,930,1200,2000,2400,4600,4600,4600
GET,/clusters/f4468b46760db96b07658c71338db961fb6de72f,227,0,580.0,708.8299032906442,282.7526249966468,9260.177957999986,262144.0,3.8442892226013696,0.0,580,620,880,900,1200,1600,2400,3400,9300,9300,9300
,Aggregated,2444,0,580.0,689.0123395479459,281.1272090038983,9260.177957999986,262144.0,41.38961612351431,0.0,580,610,850,890,1200,1600,2500,3400,5400,9300,9300
